"wwtp","target","quantile_level","interval_range","interval_coverage","interval_coverage_deviation","quantile_coverage","quantile_coverage_deviation"
"Lugano","IAV",0.1,80,0.79583746283449,-0.00416253716550878,0.273538156590684,0.173538156590685
"Lugano","IAV",0.9,80,0.79583746283449,-0.00416253716550878,0.917740336967294,0.017740336967295
"Lugano","IAV",0.05,90,0.879088206144698,-0.0209117938553029,0.244796828543112,0.194796828543112
"Lugano","IAV",0.95,90,0.879088206144698,-0.0209117938553029,0.959365708622398,0.00936570862239874
"Lugano","IAV",0.005,99,0.960356788899901,-0.0296432111000998,0.210109018830525,0.205109018830525
"Lugano","IAV",0.995,99,0.960356788899901,-0.0296432111000998,0.995044598612488,4.45986124875429e-05
"Lugano","RSV",0.5,0,0.0190627482128674,0.0190627482128674,0.518665607625099,0.0186656076250993
"Lugano","RSV",0.45,10,0.109610802223987,0.00961080222398666,0.478951548848292,0.0289515488482922
"Lugano","RSV",0.55,10,0.109610802223987,0.00961080222398666,0.565528196981732,0.0155281969817319
"Lugano","RSV",0.4,20,0.184273232724384,-0.0157267672756173,0.447974583002383,0.0479745830023837
"Lugano","RSV",0.6,20,0.184273232724384,-0.0157267672756173,0.598888006354249,-0.00111199364575104
"Lugano","RSV",0.35,30,0.286735504368546,-0.0132644956314518,0.397934868943606,0.0479348689436051
"Lugano","RSV",0.65,30,0.286735504368546,-0.0132644956314518,0.638602065131056,-0.011397934868943
"Lugano","RSV",0.3,40,0.383637807783956,-0.0163621922160458,0.355837966640191,0.0558379666401918
"Lugano","RSV",0.7,40,0.383637807783956,-0.0163621922160458,0.681493248610008,-0.0185067513899938
"Lugano","RSV",0.25,50,0.474185861795075,-0.0258141382049245,0.324066719618745,0.074066719618745
"Lugano","RSV",0.75,50,0.474185861795075,-0.0258141382049245,0.725972994440032,-0.0240270055599682
"Lugano","RSV",0.2,60,0.560762509928515,-0.0392374900714821,0.293884034948372,0.0938840349483699
"Lugano","RSV",0.8,60,0.560762509928515,-0.0392374900714821,0.768069896743447,-0.0319301032565508
"Lugano","RSV",0.15,70,0.645750595710882,-0.05424940428912,0.254964257347101,0.104964257347101
"Lugano","RSV",0.85,70,0.645750595710882,-0.05424940428912,0.806195393169182,-0.0438046068308181
"Lugano","RSV",0.1,80,0.745035742652899,-0.0549642573470989,0.217633042096902,0.117633042096903
"Lugano","RSV",0.9,80,0.745035742652899,-0.0549642573470989,0.858617950754567,-0.0413820492454322
"Lugano","RSV",0.05,90,0.862589356632248,-0.0374106433677534,0.177918983320095,0.127918983320096
"Lugano","RSV",0.95,90,0.862589356632248,-0.0374106433677534,0.9340746624305,-0.0159253375694991
"Lugano","RSV",0.005,99,0.969023034154091,-0.0209769658459092,0.140587768069897,0.135587768069897
"Lugano","RSV",0.995,99,0.969023034154091,-0.0209769658459092,1,0.00499999999999991
"Chur","SARS-CoV-2",0.5,0,0,0,0.525323910482921,0.0253239104829211
"Chur","SARS-CoV-2",0.45,10,0.102473498233216,0.00247349823321564,0.46643109540636,0.01643109540636
"Chur","SARS-CoV-2",0.55,10,0.102473498233216,0.00247349823321564,0.568904593639576,0.0189045936395763
"Chur","SARS-CoV-2",0.4,20,0.224970553592462,0.0249705535924622,0.408716136631331,0.00871613663133109
"Chur","SARS-CoV-2",0.6,20,0.224970553592462,0.0249705535924622,0.633686690223793,0.033686690223792
"Chur","SARS-CoV-2",0.35,30,0.325088339222615,0.0250883392226144,0.341578327444052,-0.00842167255594838
"Chur","SARS-CoV-2",0.65,30,0.325088339222615,0.0250883392226144,0.666666666666667,0.0166666666666672
"Chur","SARS-CoV-2",0.3,40,0.440518256772674,0.0405182567726748,0.276796230859835,-0.0232037691401639
"Chur","SARS-CoV-2",0.7,40,0.440518256772674,0.0405182567726748,0.717314487632509,0.0173144876325088
"Chur","SARS-CoV-2",0.25,50,0.54416961130742,0.0441696113074205,0.215547703180212,-0.034452296819788
"Chur","SARS-CoV-2",0.75,50,0.54416961130742,0.0441696113074205,0.759717314487632,0.00971731448763251
"Chur","SARS-CoV-2",0.2,60,0.658421672555948,0.058421672555947,0.150765606595995,-0.0492343934040064
"Chur","SARS-CoV-2",0.8,60,0.658421672555948,0.058421672555947,0.809187279151943,0.00918727915194312
"Chur","SARS-CoV-2",0.15,70,0.756183745583039,0.0561837455830373,0.100117785630153,-0.0498822143698457
"Chur","SARS-CoV-2",0.85,70,0.756183745583039,0.0561837455830373,0.856301531213192,0.00630153121319209
"Chur","SARS-CoV-2",0.1,80,0.862190812720848,0.0621908127208497,0.0577149587750294,-0.0422850412249717
"Chur","SARS-CoV-2",0.9,80,0.862190812720848,0.0621908127208497,0.919905771495877,0.0199057714958776
"Chur","SARS-CoV-2",0.05,90,0.946996466431095,0.0469964664310964,0.0365135453474676,-0.0134864546525329
"Chur","SARS-CoV-2",0.95,90,0.946996466431095,0.0469964664310964,0.983510011778563,0.0335100117785635
"Chur","SARS-CoV-2",0.005,99,0.996466431095406,0.0064664310954062,0.00353356890459364,-0.00146643109540629
"Chur","SARS-CoV-2",0.995,99,0.996466431095406,0.0064664310954062,1,0.00499999999999992
"Chur","IAV",0.5,0,0.172008547008547,0.172008547008547,0.664529914529915,0.164529914529915
"Chur","IAV",0.45,10,0.269230769230769,0.169230769230771,0.618589743589744,0.168589743589743
"Chur","IAV",0.55,10,0.269230769230769,0.169230769230771,0.699786324786325,0.149786324786326
"Chur","IAV",0.4,20,0.361111111111111,0.161111111111111,0.575854700854701,0.175854700854698
"Chur","IAV",0.6,20,0.361111111111111,0.161111111111111,0.732905982905983,0.132905982905985
"Chur","IAV",0.35,30,0.454059829059829,0.15405982905983,0.544871794871795,0.194871794871797
"Chur","IAV",0.65,30,0.454059829059829,0.15405982905983,0.784188034188034,0.134188034188031
"Chur","IAV",0.3,40,0.547008547008547,0.147008547008547,0.517094017094017,0.217094017094017
"Chur","IAV",0.7,40,0.547008547008547,0.147008547008547,0.823717948717949,0.123717948717947
"Chur","IAV",0.25,50,0.618589743589744,0.118589743589744,0.479700854700855,0.229700854700855
"Chur","IAV",0.75,50,0.618589743589744,0.118589743589744,0.852564102564103,0.102564102564103
"Chur","IAV",0.2,60,0.68482905982906,0.0848290598290595,0.443376068376068,0.24337606837607
"Chur","IAV",0.8,60,0.68482905982906,0.0848290598290595,0.876068376068376,0.0760683760683779
"Chur","IAV",0.15,70,0.746794871794872,0.0467948717948719,0.41025641025641,0.260256410256408
"Chur","IAV",0.85,70,0.746794871794872,0.0467948717948719,0.898504273504274,0.0485042735042724
"Chur","IAV",0.1,80,0.827991452991453,0.0279914529914527,0.360042735042735,0.260042735042737
"Chur","IAV",0.9,80,0.827991452991453,0.0279914529914527,0.918803418803419,0.0188034188034193
"Chur","IAV",0.05,90,0.903846153846154,0.00384615384615383,0.319444444444444,0.269444444444442
"Chur","IAV",0.95,90,0.903846153846154,0.00384615384615383,0.944444444444444,-0.00555555555555511
"Chur","IAV",0.005,99,0.991452991452991,0.00145299145299143,0.287393162393162,0.282393162393164
"Chur","IAV",0.995,99,0.991452991452991,0.00145299145299143,0.995726495726496,0.000726495726495673
"Chur","RSV",0.5,0,0.00217391304347826,0.00217391304347826,0.580434782608696,0.0804347826086956
"Chur","RSV",0.45,10,0.114130434782609,0.014130434782609,0.525,0.0749999999999986
"Chur","RSV",0.55,10,0.114130434782609,0.014130434782609,0.634782608695652,0.0847826086956534
"Chur","RSV",0.4,20,0.227173913043478,0.0271739130434788,0.454347826086957,0.0543478260869572
"Chur","RSV",0.6,20,0.227173913043478,0.0271739130434788,0.673913043478261,0.0739130434782608
"Chur","RSV",0.35,30,0.355434782608696,0.0554347826086958,0.381521739130435,0.0315217391304337
"Chur","RSV",0.65,30,0.355434782608696,0.0554347826086958,0.715217391304348,0.065217391304348
"Chur","RSV",0.3,40,0.459782608695652,0.0597826086956532,0.327173913043478,0.0271739130434795
"Chur","RSV",0.7,40,0.459782608695652,0.0597826086956532,0.754347826086956,0.0543478260869555
"Chur","RSV",0.25,50,0.548913043478261,0.0489130434782609,0.271739130434783,0.0217391304347826
"Chur","RSV",0.75,50,0.548913043478261,0.0489130434782609,0.78695652173913,0.0369565217391304
"Chur","RSV",0.2,60,0.627173913043478,0.0271739130434778,0.228260869565217,0.0282608695652165
"Chur","RSV",0.8,60,0.627173913043478,0.0271739130434778,0.816304347826087,0.0163043478260872
"Chur","RSV",0.15,70,0.689130434782609,-0.0108695652173932,0.203260869565217,0.0532608695652183
"Chur","RSV",0.85,70,0.689130434782609,-0.0108695652173932,0.846739130434783,-0.00326086956521825
"Chur","RSV",0.1,80,0.78804347826087,-0.0119565217391284,0.158695652173913,0.0586956521739121
"Chur","RSV",0.9,80,0.78804347826087,-0.0119565217391284,0.898913043478261,-0.00108695652173818
"Chur","RSV",0.05,90,0.892391304347826,-0.00760869565217284,0.102173913043478,0.052173913043478
"Chur","RSV",0.95,90,0.892391304347826,-0.00760869565217284,0.942391304347826,-0.00760869565217373
"Chur","RSV",0.005,99,0.996739130434783,0.00673913043478252,0.0554347826086957,0.0504347826086953
"Chur","RSV",0.995,99,0.996739130434783,0.00673913043478252,0.998913043478261,0.00391304347826081
